time_step,link,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,signal_quality,availability,scenario,affected_link
10,5G,24.05,6.49,0.98,82.37,75.55,0.9858,normal,All links
10,6G Candidate,10.24,2.46,0.47,161.66,93.08,0.9987,normal,All links
11,ITS-G5,16.67,4.73,1.53,29.33,75.23,0.9685,normal,All links
11,5G,24.89,7.07,0.65,77.11,81.04,0.9779,normal,All links
11,6G Candidate,9.69,2.75,0.0,137.01,91.65,0.9952,normal,All links
12,ITS-G5,16.7,4.02,1.61,25.67,73.58,0.9611,normal,All links
12,5G,19.73,6.36,0.89,86.9,76.53,0.9794,normal,All links
12,6G Candidate,9.1,2.23,0.39,148.33,91.89,0.9964,normal,All links
13,ITS-G5,18.68,3.33,2.0,27.86,73.96,0.9592,normal,All links
13,5G,21.43,6.54,0.88,85.38,78.27,0.9866,normal,All links
13,6G Candidate,9.55,1.84,0.2,138.22,82.87,0.9929,normal,All links
14,ITS-G5,17.77,4.02,1.54,26.55,76.83,0.9656,normal,All links
14,5G,22.25,5.96,0.91,88.77,80.38,0.9829,normal,All links
14,6G Candidate,8.89,2.65,0.2,164.33,87.82,0.9944,normal,All links
15,ITS-G5,16.22,3.36,2.18,30.25,72.84,0.9681,normal,All links
15,5G,22.9,4.12,0.96,84.71,79.21,0.9777,normal,All links
15,6G Candidate,9.17,2.45,0.61,157.85,90.99,1.0,normal,All links
16,ITS-G5,15.41,3.81,1.4,30.42,76.41,0.9687,normal,All links
16,5G,23.56,6.08,0.95,83.82,78.49,0.9822,normal,All links
16,6G Candidate,9.99,2.67,0.34,150.06,89.41,1.0,normal,All links
17,ITS-G5,16.16,4.03,1.72,26.29,73.83,0.9685,normal,All links
17,5G,22.35,5.84,0.85,85.51,75.02,0.9811,normal,All links
17,6G Candidate,8.56,2.77,0.18,159.92,94.81,0.9937,normal,All links
18,ITS-G5,14.84,4.09,1.8,26.47,75.15,0.9731,normal,All links
18,5G,22.91,5.85,0.67,86.49,75.88,0.9776,normal,All links
18,6G Candidate,9.55,2.23,0.59,168.0,91.65,0.9972,normal,All links
19,ITS-G5,17.06,3.91,1.67,25.92,74.1,0.9709,normal,All links
19,5G,25.06,5.32,0.71,82.64,79.73,0.9812,normal,All links
19,6G Candidate,8.83,2.59,0.28,154.66,91.52,0.9947,normal,All links
20,ITS-G5,15.47,4.9,1.93,28.09,69.78,0.9666,normal,All links
20,5G,21.29,4.99,1.09,88.3,78.63,0.9752,normal,All links
20,6G Candidate,8.38,2.3,0.49,174.25,91.54,0.9919,normal,All links
21,ITS-G5,13.72,3.97,1.76,26.23,74.29,0.9604,normal,All links
21,5G,26.11,6.77,1.14,82.78,80.29,0.9815,normal,All links
21,6G Candidate,8.25,2.4,0.06,142.69,92.99,0.9942,normal,All links
22,ITS-G5,14.96,4.48,1.42,26.79,74.44,0.9666,normal,All links
22,5G,24.35,6.74,0.95,79.33,76.67,0.9852,normal,All links
22,6G Candidate,8.62,1.93,0.65,160.1,94.36,0.9935,normal,All links
23,ITS-G5,14.44,3.46,2.36,27.73,77.97,0.9624,normal,All links
23,5G,25.47,4.8,0.82,89.6,75.87,0.9863,normal,All links
23,6G Candidate,8.49,2.19,0.24,151.09,90.88,0.9929,normal,All links
24,ITS-G5,13.95,3.85,1.57,26.01,73.88,0.9685,normal,All links
24,5G,23.32,6.0,0.76,80.43,81.13,0.9799,normal,All links
24,6G Candidate,9.09,2.27,0.44,153.06,89.11,0.9974,normal,All links
25,ITS-G5,14.68,4.29,1.79,26.33,73.74,0.9652,normal,All links
25,5G,27.12,5.35,0.89,76.95,80.63,0.9777,normal,All links
25,6G Candidate,7.31,2.48,0.59,142.0,88.28,0.992,normal,All links
26,ITS-G5,13.89,4.18,1.62,26.89,75.46,0.962,normal,All links
26,5G,26.5,5.3,0.63,76.42,83.65,0.9807,normal,All links
26,6G Candidate,8.46,2.49,0.39,155.42,95.77,0.9908,normal,All links
27,ITS-G5,13.66,3.51,1.51,29.15,76.05,0.9612,normal,All links
27,5G,23.92,5.74,1.21,71.82,80.32,0.9777,normal,All links
27,6G Candidate,8.96,2.18,0.29,142.16,88.56,1.0,normal,All links
28,ITS-G5,16.17,3.81,1.61,25.08,73.02,0.9649,normal,All links
28,5G,25.76,5.93,0.65,84.69,78.9,0.9872,normal,All links
28,6G Candidate,9.5,2.46,0.18,154.45,89.48,0.992,normal,All links
29,ITS-G5,15.59,3.5,1.93,27.84,74.63,0.9643,normal,All links
29,5G,24.7,5.32,0.85,82.43,79.58,0.982,normal,All links
29,6G Candidate,7.88,2.52,0.05,149.74,90.26,0.9867,normal,All links
